starch_mixing_tank23top_ply,pulp_to_mixing_tank23,power_power_station24,recycled_liquid_top_ply,sum_bleached_pulp,flow_after_machine_chest21,steam_pressure_group1,steam_pressure_group2,level_condensate_bucket1,level_condensate_bucket1_valve_position,level_condensate_bucket2_valve_position,steam_group3_pressure,steam_group4under_pressure,steam_pressure4_over,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket2,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,total_starch_paper_machine2,steamflow
33.736,189.6,242.67,1.5393,7.7784,3132.4,83.788,169.4,324.19,45.262,27.013,208.95,223.5,224,224.11,223.33,223.21,172.93,74.375,11.522,177.75,55.959,18.351
33.554,190.07,242.67,1.4944,7.7582,3139.1,87.759,169.67,327.04,39.031,26.744,213.41,228.08,227.72,227.89,228.07,227.62,172.87,78.5,11.548,177.41,56.125,18.688
30.787,182.73,214.8,1.4867,7.5373,3011.9,98.942,168.59,327.04,50.577,30.555,225.3,239.48,239.64,239.21,239.86,239.85,172.87,92.25,11.692,170.77,52.877,18.839
30.982,183.65,214.44,1.5848,7.6227,3037.7,100.35,170.14,326.43,46.988,29.927,233.75,248.66,248.12,248.69,248.23,248.44,172.59,96.75,11.696,173.55,53.131,19.547
30.982,183.66,214.7,1.4417,7.6199,3028.3,100.33,169.67,340.85,52.587,33.731,242.63,257.87,258.09,258.23,257.56,257.6,175.28,95.746,11.736,172.4,53.032,19.507
31.004,183.66,216.14,1.4867,7.6678,3030.2,99.689,169.89,321.79,42.13,30.976,237.13,251.75,252.2,252.01,252.18,252,174.13,95.875,11.718,173.92,53.455,19.363
29.234,166.55,223.98,1.3763,7.2091,2761.6,71.064,168.48,325.92,46.652,40.175,198.84,211.4,211.74,211.15,209.4,213.86,171.27,62.983,11.184,158.29,51.373,13.963
27.872,166.82,219.13,1.3287,6.8435,2751.7,80.027,169.41,325.92,43.961,26.207,205.75,221.04,220.66,220.96,221.14,221.36,169.67,76.125,11.091,156.81,50.488,18.184
27.827,166.82,219.31,1.3287,6.8537,2736,84.602,170.77,326.03,35.253,23.553,210.83,224.77,224.77,225.57,224.83,225.03,173.01,77.875,11.097,156.33,50.446,18.184
27.955,166.75,219.67,1.3287,6.8602,2746.8,78.161,170.08,317.29,35.253,25.58,202.87,218.14,219.08,218.01,217.36,217.58,172.48,71.199,10.99,156.89,50.377,18.139
27.877,166.72,218.89,1.3743,6.833,2730.9,81.669,170.24,319.82,35.238,24.11,206.37,221.15,221.28,221.73,221.48,220.92,172.85,75.47,11.037,158.03,50.273,18.15
28.171,166.72,219.93,1.3743,6.704,2728.8,88.453,169.97,326.35,37.448,28.659,214.48,228.71,229.36,229.1,228.41,228.74,172.68,83,11.063,157.36,50.552,18.824
27.451,166.9,219.5,1.3743,6.7256,2743.9,94.822,170.34,329.39,40.707,30.603,219.82,235.23,234.97,234.4,234.45,234.31,172.68,87.25,11.054,156.73,50.14,18.838
27.844,167.18,219.49,1.3287,6.8456,2735.1,95.69,169.58,328.29,41.343,30.41,220.46,235.79,235.71,235.49,235.51,235.82,173.92,87.5,11.051,156.49,50.385,18.708
